Temperature,Pressure,Humidity,Oxygen
21.3,1.1,60,20.8
22.0,1.19,40,19.2
22.8,1.34,48,19.6
20.5,1.25,48,19.4
24.1,1.19,43,20.3
21.9,1.36,41,19.7
22.7,1.46,60,19.4
22.3,1.05,54,20.2
21.3,1.17,56,19.4
22.6,1.18,43,19.2
23.6,1.43,50,19.7
21.4,1.03,52,19.8
20.8,1.14,53,20.3
23.9,1.01,46,20.2
22.6,1.12,54,20.7
21.8,1.28,48,20.9
23.9,1.37,57,19.4
23.1,1.03,45,19.1
24.7,1.24,49,19.7
21.3,1.26,50,20.4
20.2,1.11,40,19.0
23.0,1.1,56,19.8
21.3,1.13,60,20.5
23.7,1.36,48,20.8
20.5,1.49,43,19.9
22.4,1.25,49,19.3
20.5,1.05,40,20.8
24.8,1.26,45,21.0
20.8,1.42,40,19.0
22.0,1.29,59,19.6
24.7,1.21,41,19.3
24.8,1.38,57,20.9
22.3,1.05,59,21.0
24.8,1.11,46,19.4
22.2,1.21,46,20.0
23.7,1.43,60,19.7
22.3,1.24,50,20.1
22.1,1.31,48,19.8
21.9,1.2,56,19.7
22.6,1.02,47,19.4
21.8,1.21,53,20.8
24.1,1.23,45,19.4
24.4,1.1,49,19.8
23.0,1.04,42,19.8
24.9,1.44,41,20.8
23.4,1.43,54,19.6
22.1,1.42,45,20.5
20.7,1.49,50,19.8
21.9,1.02,46,19.9
22.0,1.16,42,20.3
20.3,1.32,51,20.2
23.0,1.43,50,20.2
22.6,1.14,50,20.2
20.6,1.27,49,20.4
21.9,1.03,47,19.1
22.1,1.12,42,20.4
22.3,1.44,57,19.6
20.6,1.13,58,19.9
22.4,1.46,46,19.3
20.7,1.26,57,20.2
23.7,1.44,49,20.8
23.8,1.34,57,19.5
22.7,1.44,46,20.4
23.5,1.42,54,20.7
20.1,1.01,51,19.0
20.8,1.06,49,20.6
23.1,1.49,42,20.0
21.5,1.4,43,20.6
24.1,1.44,53,19.5
24.1,1.11,56,19.9
20.6,1.24,55,19.0
23.8,1.49,43,20.6
21.7,1.19,60,20.7
21.8,1.01,49,20.3
20.8,1.26,50,20.1
22.9,1.47,44,19.8
20.2,1.45,43,20.6
22.2,1.13,54,20.7
23.4,1.23,55,19.0
22.3,1.16,42,19.3
22.9,1.28,53,19.8
24.6,1.21,52,19.4
23.5,1.13,56,20.3
21.9,1.17,53,20.9
21.4,1.17,42,19.2
21.5,1.41,55,20.8
20.9,1.4,48,19.7
22.1,1.23,40,19.6
24.4,1.4,54,20.6
24.3,1.07,53,20.9
23.0,1.08,54,19.8
22.1,1.23,41,19.4
23.0,1.19,41,20.2
22.4,1.13,43,19.6
24.7,1.3,44,19.4
22.3,1.43,53,19.3
20.6,1.31,41,20.6
22.4,1.33,59,19.9
22.4,1.16,60,19.3
21.7,1.12,47,19.9
22.2,1.46,49,19.6
20.6,1.23,42,19.4
24.3,1.17,54,19.5
20.4,1.16,55,20.2
24.3,1.07,43,20.0
22.8,1.34,58,20.5
22.5,1.04,54,19.3
23.3,1.15,43,19.5
21.9,1.3,43,19.1
21.1,1.2,53,20.7
20.8,1.39,40,21.0
24.3,1.47,47,19.3
22.8,1.09,54,20.8
24.5,1.34,48,19.4
23.8,1.11,54,19.5
22.6,1.26,46,19.2
21.6,1.2,46,19.8
21.0,1.13,42,20.8
21.8,1.5,56,20.3
22.6,1.18,41,19.5
22.8,1.41,59,19.7
24.2,1.11,53,19.1
23.9,1.39,48,20.9
21.2,1.1,54,20.0
22.7,1.33,44,19.0
24.9,1.49,53,20.2
22.2,1.0,50,19.9
22.1,1.44,41,20.7
22.9,1.5,50,19.8
23.2,1.37,46,20.8
24.9,1.32,51,21.0
24.7,1.15,53,19.6
24.7,1.34,52,20.5
22.0,1.14,50,20.7
20.3,1.3,59,19.8
22.1,1.36,55,19.9
21.8,1.22,44,19.6
23.6,1.06,51,20.5
21.8,1.12,50,20.6
22.3,1.45,58,19.4
24.5,1.5,50,20.0
23.8,1.23,59,20.8
23.8,1.2,48,20.2
22.7,1.05,44,20.6
22.0,1.09,47,19.4
24.7,1.16,58,20.8
24.5,1.18,51,20.5
23.3,1.0,42,20.3
24.5,1.01,41,20.2
20.5,1.19,48,19.9
24.7,1.4,56,20.8
20.7,1.07,49,20.2
21.4,1.39,54,19.6
20.8,1.45,50,19.3
21.1,1.25,45,20.0
23.4,1.33,56,19.5
21.3,1.31,59,19.7
20.8,1.11,44,20.2
22.8,1.37,41,19.4
22.4,1.44,48,19.8
20.1,1.49,50,19.2
22.3,1.23,55,19.6
22.4,1.08,45,20.9
21.2,1.21,47,20.3
21.1,1.24,55,20.7
21.7,1.09,47,19.2
21.4,1.49,56,19.4
21.2,1.39,46,19.7
23.3,1.44,43,20.8
21.2,1.29,59,19.1
22.5,1.13,45,19.4
24.2,1.05,52,19.0
20.8,1.35,46,19.2
24.9,1.09,45,19.4
21.7,1.47,52,19.1
21.0,1.3,55,19.6
22.3,1.07,43,19.5
20.9,1.5,47,19.6
24.5,1.05,54,19.4
24.3,1.37,46,19.5
23.9,1.3,40,20.8
20.5,1.39,53,20.3
21.2,1.39,42,20.7
22.2,1.22,60,20.1
24.0,1.34,44,19.5
23.4,1.17,58,19.6
23.5,1.13,42,20.9
24.1,1.48,54,19.7
21.5,1.47,43,19.0
24.9,1.15,56,19.5
22.2,1.19,50,20.8
20.5,1.09,44,20.1
21.1,1.3,55,20.5
21.4,1.38,52,20.5
22.1,1.27,42,20.3
24.2,1.42,47,19.5
24.7,1.39,45,19.8
21.5,1.33,48,19.9
21.2,1.03,55,19.4
20.6,1.15,59,19.5
20.6,1.14,51,19.4
24.9,1.04,51,20.0
20.4,1.36,42,19.9
20.5,1.36,43,19.7
20.2,1.15,42,19.8
20.8,1.34,59,20.2
21.1,1.38,41,19.7
24.6,1.02,43,20.1
20.3,1.01,57,20.8
24.2,1.01,60,19.0
23.0,1.28,52,20.9
20.8,1.25,60,20.2
23.4,1.41,44,20.1
23.9,1.39,55,19.5
21.3,1.41,50,19.3
24.1,1.28,50,19.8
21.9,1.29,45,19.6
20.6,1.03,50,20.2
23.1,1.4,46,19.3
24.2,1.17,46,20.0
22.6,1.08,56,19.4
21.4,1.15,42,19.6
23.3,1.3,58,20.4
23.7,1.48,55,19.8
20.2,1.28,54,19.9
21.2,1.33,45,19.1
21.6,1.35,46,19.5
23.2,1.28,54,19.2
22.4,1.14,55,19.7
23.9,1.37,56,19.7
23.1,1.04,55,19.6
22.7,1.02,51,19.2
21.8,1.07,40,19.4
24.9,1.39,41,19.7
22.8,1.29,44,20.3
20.8,1.44,40,20.1
23.7,1.21,48,19.1
24.0,1.47,41,19.0
24.8,1.29,45,20.9
22.8,1.25,59,19.2
23.5,1.06,45,19.9
20.4,1.07,47,20.1
21.9,1.22,46,19.4
21.3,1.23,45,20.9
24.8,1.49,47,20.0
23.4,1.27,42,19.4
20.6,1.14,55,19.0
22.1,1.45,56,20.6
20.6,1.34,48,19.2
24.1,1.21,46,20.8
20.7,1.14,60,19.8
24.6,1.16,53,20.9
24.9,1.16,50,19.7
21.9,1.45,48,19.2
24.3,1.5,56,20.2
21.3,1.38,60,21.0
23.0,1.19,45,20.6
23.7,1.15,53,20.2
22.2,1.48,48,20.2
20.7,1.37,59,20.4
22.2,1.4,54,20.5
22.6,1.29,45,19.9
20.6,1.35,44,20.4
20.7,1.21,44,19.3
24.4,1.49,59,20.4
20.2,1.33,40,19.4
21.6,1.41,59,19.7
20.4,1.31,53,19.5
23.5,1.06,41,20.4
21.4,1.08,43,19.9
23.0,1.22,57,20.3
20.4,1.12,48,20.2
21.9,1.18,57,20.8
24.1,1.2,47,19.0
22.0,1.07,48,19.5
23.6,1.27,50,19.5
21.1,1.23,59,19.9
22.8,1.19,40,20.1
23.4,1.17,47,19.9
22.2,1.39,40,19.4
21.5,1.17,51,20.0
22.2,1.38,56,21.0
23.6,1.36,50,19.7
22.8,1.28,57,19.1
23.1,1.09,48,20.6
22.1,1.16,59,20.6
20.7,1.48,59,20.1
20.3,1.39,42,20.2
22.6,1.48,40,20.6
23.7,1.07,52,20.5
24.4,1.05,49,19.0
24.7,1.23,58,20.8
24.6,1.49,51,19.2
22.6,1.42,43,20.1
22.5,1.16,59,19.9
22.9,1.32,60,20.9
20.7,1.16,52,20.7
21.9,1.29,47,20.6
21.7,1.43,46,19.4
21.7,1.25,52,20.5
20.8,1.09,40,20.3
22.9,1.36,51,20.8
22.1,1.12,40,20.3
22.2,1.12,43,19.2
20.2,1.25,41,19.4
24.4,1.4,43,20.0
23.6,1.03,55,19.5
20.1,1.37,45,19.9
20.6,1.17,43,20.1
21.5,1.42,57,20.4
22.9,1.05,47,19.0
24.3,1.29,58,19.2
20.9,1.05,56,20.9
20.2,1.19,51,19.6
24.6,1.38,46,20.7
22.9,1.08,43,19.0
24.0,1.25,47,19.8
24.9,1.45,47,20.3
24.3,1.5,44,20.5
24.9,1.45,40,20.6
20.5,1.29,52,19.1
21.8,1.41,58,19.2
24.4,1.33,51,20.6
20.3,1.28,52,19.1
24.9,1.49,47,19.8
24.5,1.31,42,19.2
24.3,1.38,44,19.8
24.0,1.06,59,19.7
20.5,1.03,46,20.0
23.6,1.05,43,19.9
23.7,1.12,56,20.2
20.2,1.22,53,19.6
24.9,1.35,49,19.9
21.6,1.07,51,19.0
24.8,1.36,49,20.1
21.0,1.05,43,20.9
23.1,1.4,43,20.7
21.3,1.01,46,20.2
20.5,1.43,40,20.6
24.5,1.27,54,19.1
22.4,1.27,52,19.9
22.2,1.32,54,19.9
24.9,1.47,44,20.9
22.2,1.4,54,19.4
23.9,1.44,44,20.8
21.1,1.05,46,19.7
23.1,1.45,46,19.4
24.5,1.3,42,19.7
20.4,1.39,41,21.0
22.7,1.03,51,19.1
22.1,1.33,47,19.7
22.9,1.43,53,19.1
22.1,1.3,54,19.1
21.9,1.04,44,20.6
20.3,1.17,50,20.8
20.2,1.14,49,20.3
21.0,1.41,54,20.0
21.8,1.15,56,19.9
20.3,1.33,52,19.7
24.1,1.15,55,20.8
22.5,1.02,46,20.2
20.5,1.08,42,19.2
21.2,1.04,41,19.2
24.3,1.45,45,20.9
22.9,1.27,59,19.6
21.9,1.34,46,19.6
24.8,1.24,44,20.2
24.2,1.14,46,19.9
24.0,1.33,56,20.6
23.1,1.48,54,20.4
24.9,1.47,46,19.6
21.5,1.35,44,20.8
21.0,1.5,58,20.2
20.0,1.18,55,21.0
22.2,1.1,52,19.9
24.1,1.22,46,19.4
22.5,1.3,55,19.0
21.4,1.12,43,19.8
24.9,1.2,50,19.9
23.9,1.15,53,20.3
22.6,1.38,53,20.3
21.9,1.25,54,19.5
20.4,1.15,59,20.8
21.4,1.32,51,19.9
20.2,1.06,53,19.0
24.3,1.22,49,20.4
20.4,1.28,44,20.8
21.1,1.26,50,20.4
21.4,1.44,60,20.8
22.7,1.38,49,19.2
20.1,1.39,43,20.5
21.5,1.31,55,20.9
23.0,1.17,41,20.8
22.2,1.47,55,19.3
21.0,1.37,48,20.6
24.2,1.0,45,20.8
23.5,1.32,57,20.9
20.2,1.39,45,20.4
20.8,1.38,59,19.2
25.0,1.26,41,20.7
21.8,1.07,53,19.3
22.9,1.23,41,20.7
22.3,1.17,53,19.7
24.7,1.11,51,20.6
23.4,1.44,50,20.7
23.1,1.08,48,20.8
24.8,1.13,50,19.1
24.2,1.17,51,20.9
21.8,1.4,55,20.1
20.3,1.14,51,21.0
22.4,1.39,58,19.0
21.4,1.47,49,20.9
22.6,1.26,60,19.3
24.8,1.08,55,19.8
23.8,1.12,49,20.9
24.8,1.13,58,20.1
22.9,1.33,43,19.3
22.9,1.27,46,19.8
24.4,1.07,59,20.5
21.0,1.09,56,19.9
23.4,1.14,60,20.3
22.4,1.26,44,20.9
24.7,1.04,53,19.7
24.2,1.4,40,19.6
24.5,1.2,49,20.2
22.6,1.25,53,19.2
22.4,1.45,59,19.2
23.8,1.33,41,19.6
21.4,1.46,56,19.2
24.3,1.29,58,20.4
22.5,1.1,48,19.6
24.6,1.49,60,19.1
22.7,1.41,43,19.2
20.2,1.07,56,19.7
20.4,1.38,43,19.3
24.5,1.3,47,20.0
24.7,1.33,44,20.7
24.8,1.01,43,20.7
24.4,1.45,40,19.9
23.5,1.46,57,19.2
22.5,1.45,53,20.1
21.0,1.37,55,20.1
21.6,1.09,58,20.9
21.2,1.43,48,19.3
20.4,1.33,48,19.4
21.3,1.25,50,20.5
20.8,1.03,53,19.2
20.1,1.16,47,19.2
23.5,1.39,60,20.5
22.9,1.05,56,20.1
21.3,1.13,41,20.6
21.3,1.18,53,19.6
21.0,1.29,46,19.9
22.8,1.44,59,19.7
20.4,1.27,42,19.4
24.2,1.39,49,20.7
21.8,1.27,58,19.2
21.5,1.4,55,20.5
23.2,1.4,42,19.1
22.4,1.04,54,19.1
21.0,1.03,51,20.7
23.4,1.45,60,20.8
20.5,1.43,45,20.4
21.4,1.02,46,20.6
24.2,1.15,52,20.0
22.0,1.25,51,19.5
20.1,1.3,53,19.3
23.7,1.13,59,21.0
21.9,1.44,43,19.8
20.4,1.31,53,20.4
22.6,1.35,47,19.6
21.7,1.5,56,19.8
23.2,1.12,54,19.1
22.7,1.42,45,19.0
22.3,1.15,46,20.9
21.4,1.15,53,19.2
24.7,1.26,43,20.3
21.3,1.23,58,20.3
20.2,1.44,59,20.7
24.5,1.34,56,19.1
20.2,1.3,43,20.2
24.9,1.38,50,20.6
21.4,1.05,41,19.6
22.3,1.31,41,20.7
23.4,1.03,47,19.5
22.6,1.09,59,19.2
24.5,1.02,52,20.9
23.7,1.24,44,20.9
22.4,1.09,56,20.6
23.9,1.15,42,20.6
21.9,1.44,52,19.3
23.4,1.5,47,20.2
24.1,1.23,56,19.5
22.6,1.15,53,19.6
20.0,1.43,44,19.6
24.4,1.16,59,19.5
20.3,1.13,60,20.9
20.6,1.2,60,20.8
20.8,1.2,44,19.5
23.4,1.42,51,19.6
21.8,1.15,46,20.5
21.4,1.2,55,21.0
23.0,1.12,46,20.9
22.1,1.35,40,20.6
22.9,1.05,44,19.4
20.6,1.31,49,21.0
21.8,1.27,43,20.7
20.9,1.31,56,20.8
21.6,1.11,48,19.8
22.9,1.4,56,19.3
22.1,1.47,55,20.2
21.2,1.14,60,20.7
21.0,1.17,41,19.4
23.4,1.01,43,19.9
22.1,1.42,58,20.3
23.4,1.14,52,20.4
20.7,1.37,53,20.8
23.1,1.19,54,19.5
23.5,1.34,54,20.8
21.9,1.35,43,19.4
22.6,1.27,48,19.7
20.2,1.41,54,20.5
